Number,TagID_Hex,spp,Rel_group,TankID,TagDate,MortDate,ExptMort,Mort_mass_g,Mort_FL_mm,Sex
137,0394,DeltaSmelt,LT,AES-2,12/22/23,1/3/24,Natural,2.57,70,M
138,03BC,DeltaSmelt,VT,AES-3,12/22/23,1/3/24,Natural,2.1,67,M
139,060E,DeltaSmelt,VT,AES-9,12/21/23,1/3/24,Natural,3.64,74,F
140,0796,DeltaSmelt,LT,AES-2,12/22/23,1/3/24,Natural,2.83,71,M
141,F207,DeltaSmelt,FC,AES-1,12/22/23,1/3/24,Natural,3.76,79,F
142,SHED,DeltaSmelt,LT,AES-2,12/22/23,1/3/24,Shed,1.91,73,M
143,SHED,DeltaSmelt,VT,AES-3,12/22/23,1/3/24,Shed,3.53,77,F
144,SHED,DeltaSmelt,VT,AES-3,12/22/23,1/3/24,Shed,2.53,72,M
145,0570,DeltaSmelt,LT,AES-2,12/22/23,1/4/24,Natural,3.45,74,F
146,F126,DeltaSmelt,FC,AES-7,12/21/23,1/4/24,Natural,3.41,76,M
147,F127,DeltaSmelt,FC,AES-7,12/21/23,1/4/24,Natural,4.44,79,M
148,04D2,DeltaSmelt,LT,AES-2,12/22/23,1/5/24,Natural,2.9,75,M
149,0191,DeltaSmelt,LT,AES-8,12/21/23,1/6/24,Natural,3.86,85,M
150,0772,DeltaSmelt,VT,AES-9,12/21/23,1/6/24,Natural,3.38,76,M
151,F208,DeltaSmelt,FC,AES-1,12/22/23,1/6/24,Natural,1.82,66,M
152,F209,DeltaSmelt,FC,AES-1,12/22/23,1/6/24,Natural,2.4,74,M
153,F210,DeltaSmelt,FC,AES-1,12/22/23,1/6/24,Natural,3.36,78,F
154,0623,DeltaSmelt,LT,AES-2,12/22/23,1/7/24,Natural,2.03,72,M
155,F211,DeltaSmelt,FC,AES-1,12/22/23,1/7/24,Natural,3.65,79,F
156,F128,DeltaSmelt,FC,AES-7,12/21/23,1/8/24,Natural,2.8,76,F
157,SHED,DeltaSmelt,VT,AES-9,12/21/23,1/8/24,Shed,2.8,79,F
158,0159,DeltaSmelt,VT,AES-9,12/21/23,1/9/24,Natural,3.26,82,M
159,F212,DeltaSmelt,FC,AES-1,12/22/23,1/9/24,Natural,1.55,66,M
160,F213,DeltaSmelt,FC,AES-1,12/22/23,1/9/24,Natural,2.43,75,M
161,F129,DeltaSmelt,FC,AES-7,12/21/23,1/9/24,Natural,5.37,91,F
162,F130,DeltaSmelt,FC,AES-7,12/21/23,1/9/24,Natural,5.02,86,F
163,0018,DeltaSmelt,VT,AES-9,12/21/23,1/10/24,Natural,2.85,77,F
164,031D,DeltaSmelt,LT,AES-8,12/21/23,1/10/24,Natural,3.33,81,M
165,076F,DeltaSmelt,LT,AES-2,12/22/23,1/10/24,Natural,1.77,71,F
166,SHED,DeltaSmelt,VT,AES-3,12/22/23,1/10/24,Shed,1.66,71,M
