Number,TagID_Hex,spp,Rel_group,TankID,TagDate,MortDate,ExptMort,Mort_Mass_g,Mort_FL_mm,Sex,ReproIndex,ReproNotes
114,HC20,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,4.2,82,M,2,
115,HC21,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,2.3,70,M,2,
116,HC22,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,3.1,82,F,,"no fat, sunken stomach; either 0 or 4"
117,LS06,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,3.4,79,M,2,
118,LS07,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,3.4,82,M,2,potentially post spawn? very hard to tell
119,LS08,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,4.5,82,F,3,
120,LS09,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,3.2,76,M,2,
121,LS10,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,4.9,85,M,2,
122,LS11,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,3.6,80,M,2,
123,LS12,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,4.2,83,F,0,
124,LS13,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,3.2,76,M,2,
125,LS14,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,3.7,85,M,2,
126,LS15,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,2.8,76,M,2,
127,LS16,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,3.9,79,M,2,
128,LS17,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,4.1,85,F,1,
129,LS18,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,4,80,M,2,
130,LS19,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,3.5,75,M,2,
131,LS20,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,3.4,83,M,1,very small teste
132,LS21,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,4.6,84,M,2,
133,LS22,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,3,75,M,2,
134,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,3.6,79,M,2,
135,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,3.9,81,M,2,
136,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,4.4,82,F,1,
137,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,2.7,79,M,2,
138,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,4.2,82,M,2,
139,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,2.9,78,F,0,
140,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,3,79,M,2,testes grafted to incision sight
141,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,5.2,90,F,1,
142,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,3.9,81,M,2,
143,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,4.5,87,F,2,
144,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,2.6,71,M,2,teste grafted to incision
145,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,3.5,76,M,2,
146,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,3.4,80,F,0,
147,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,3.4,79,M,2,
148,415,DeltaSmelt,LT,AES-5,8/8/23,9/8/23,Euth,4,76,M,2,big testes
149,06F2,DeltaSmelt,LT,AES-5,8/8/23,9/8/23,Euth,2.4,71,M,2,
150,04F4,DeltaSmelt,LT,AES-5,8/8/23,9/8/23,Euth,3,75,M,2,
